month,base_payment,cost,revenue,adjustment,margin,wmvi,employer_exposure,regime,event,cap_hit,project
2022-03-01,0.05891653504906963,0.07188335047100355,0.05922319689157943,0.00030666184250979827,-0.012660153579424127,1.1020502168456427,0.0005220310295131051,DAM,True,False,road
2022-04-01,0.05272979631217085,0.06643521563242244,0.05272979631217085,0.0,-0.013705419320251593,-0.13069330358515868,0.0005220310295131051,DAM,False,False,road
2022-05-01,0.04597418563240099,0.058658112289027724,0.0463419791174602,0.00036779348505920796,-0.012316133171567524,1.953889663512594,0.0008898245145723131,DAM,True,True,road
2022-06-01,0.03917870672923838,0.05050978906260145,0.039492136383072286,0.00031342965383390704,-0.011017652679529165,2.636389807446853,0.0012032541684062201,DAM,True,True,road
2022-07-01,0.03274285992952861,0.04322198153668477,0.03300480280896484,0.0002619428794362289,-0.010217178727719933,2.0246570967931357,0.001465197047842449,DAM,True,True,road
2022-08-01,0.02692114837541319,0.035775168532402646,0.027136517562416494,0.0002153691870033055,-0.008638650969986152,1.846293002923112,0.0016805662348457545,DAM,True,True,road
2022-09-01,0.021839018090322383,0.02897146894022855,0.021839018090322383,0.0,-0.007132450849906168,0.33071541717846953,0.0016805662348457545,DAM,False,False,road
2022-10-01,0.017523916760467162,0.02341264172973813,0.0176641080945509,0.0001401913340837373,-0.005748533635187229,1.4798907025779506,0.0018207575689294917,DAM,True,True,road
2022-11-01,0.013938644962693215,0.01855792917774424,0.013938644962693215,0.0,-0.004619284215051025,-0.07690882197225879,0.0018207575689294917,DAM,False,False,road
2021-05-01,0.04978706836786394,0.0518809417584496,0.04978706836786394,0.0,-0.002093873390585664,-1.0270971111415526,0.0,Fixed-price,False,False,building
2021-06-01,0.019677886661140686,0.020530874739465736,0.019677886661140686,0.0,-0.0008529880783250503,-1.0234795015896792,0.0,Fixed-price,False,False,building
2021-07-01,0.026707411512321613,0.027877424593451657,0.026707411512321613,0.0,-0.0011700130811300447,-0.17507464997800753,0.0,Fixed-price,False,False,building
2021-08-01,0.03559550566771097,0.03721535803143668,0.03559550566771097,0.0,-0.0016198523637257073,-0.19241635420053954,0.0,Fixed-price,False,False,building
2021-09-01,0.04630994744449718,0.0485650174363765,0.04630994744449718,0.0,-0.00225506999187932,-0.16462069989965356,0.0,Fixed-price,False,False,building
2021-10-01,0.058393199671118425,0.061141993791864094,0.058393199671118425,0.0,-0.0027487941207456693,0.5228340253777541,0.0,Fixed-price,False,False,building
2021-11-01,0.07079160815290447,0.07437558627631362,0.07079160815290447,0.0,-0.0035839781234091456,-0.41469653089788716,0.0,Fixed-price,False,False,building
2021-12-01,0.08184524831475308,0.08605805154945362,0.08184524831475308,0.0,-0.004212803234700538,-0.21193500337216453,0.0,Fixed-price,False,False,building
2022-01-01,0.08959134228952052,0.09614420043422096,0.08959134228952052,0.0,-0.006552858144700441,-0.4588434300588735,0.0,Fixed-price,False,False,building
