project,regime,margin_variance,budget_variance,adjustment_count,cap_hit_count,worst_margin,max_employer_exposure,sim_id
road,Fixed-price,1.0462846158509895e-05,0.00033542034092931295,0,0,-0.00942018428551715,0.0,56
road,FIDIC 13.8,1.6740553853615825e-06,0.0003831952691551774,23,0,-0.003768073714206857,0.06759444647493794,56
road,DAM,1.9052220557407488e-06,0.0003826387657114656,5,0,-0.00417471877823633,0.06101958084198871,56
road,Fixed-price,1.2838439703165794e-05,0.00033542034092931295,0,0,-0.011048877009098734,0.0,57
road,FIDIC 13.8,2.0541503525065283e-06,0.00040080804944493746,23,0,-0.0044195508036394965,0.08084413896992589,57
road,DAM,2.2357529295413647e-06,0.0004016789199631288,5,0,-0.004983358384005113,0.07570040838516909,57
road,Fixed-price,8.855806087897836e-06,0.00033542034092931295,0,0,-0.009757625270283954,0.0,58
road,FIDIC 13.8,1.416928974063654e-06,0.00038977812236622514,23,0,-0.0039030501081135788,0.06897026778540521,58
road,DAM,1.6090776550647533e-06,0.0003867026353508657,5,0,-0.004093447159566083,0.06540831162637716,58
road,Fixed-price,5.903420346949514e-06,0.00033542034092931295,0,0,-0.007276139331945555,0.0,59
road,FIDIC 13.8,9.445472555119219e-07,0.00034912381992162805,23,0,-0.0029104557327782193,0.04649325316619992,59
road,DAM,1.0230818405259511e-06,0.00034820431753815215,5,1,-0.0030267189726106633,0.04129555464469388,59
road,Fixed-price,8.091409474329926e-06,0.00033542034092931295,0,0,-0.008920865534970443,0.0,60
road,FIDIC 13.8,1.2946255158927877e-06,0.0003852340553143242,23,0,-0.0035683462139881744,0.06835035874947899,60
road,DAM,1.3746810764690944e-06,0.00038469245124331215,6,1,-0.003701376436650361,0.06536299160721307,60
road,Fixed-price,1.1037827308655814e-05,0.00033542034092931295,0,0,-0.010307946350926286,0.0,61
road,FIDIC 13.8,1.7660523693849327e-06,0.0003945402718195932,23,0,-0.004123178540370517,0.07397565231496017,61
road,DAM,2.1182231738810244e-06,0.0003912587275580752,5,0,-0.004666157599470602,0.06770125633074754,61
road,Fixed-price,2.7606570836246516e-06,0.00033542034092931295,0,0,-0.004767204144403965,0.0,62
road,FIDIC 13.8,4.4170513337994433e-07,0.0003594392517298972,23,0,-0.0019068816577615874,0.04474671683421926,62
road,DAM,5.332577992836128e-07,0.0003572581212039777,5,0,-0.002388669872632844,0.04128691662240501,62
road,Fixed-price,1.6748241641275016e-06,0.00033542034092931295,0,0,-0.0038534075669108964,0.0,63
road,FIDIC 13.8,2.6797186626040046e-07,0.00035138942057931006,23,0,-0.0015413630267643585,0.027851161874916507,63
road,DAM,2.859942661810531e-07,0.0003490101853985107,4,0,-0.0015413630267643585,0.025788409583730423,63
road,Fixed-price,7.476401197768811e-07,0.00033542034092931295,0,0,-0.0025042272229494067,0.0,64
road,FIDIC 13.8,1.1962241916430096e-07,0.00034912438689715003,23,0,-0.0010016908891797571,0.020976280979740483,64
road,DAM,7.941655664692671e-08,0.0003581564793425786,2,0,-0.001153957588516219,0.023138406537882596,64
road,Fixed-price,1.1775316929926035e-05,0.00033542034092931295,0,0,-0.01056062595567682,0.0,65
road,FIDIC 13.8,1.8840507087881663e-06,0.0003918967560611561,23,0,-0.004224250382270728,0.07561398564832558,65
road,DAM,2.151362239515924e-06,0.0003922416164640545,5,0,-0.004534853530674898,0.06901925831849662,65
road,Fixed-price,8.701726525497336e-06,0.00033542034092931295,0,0,-0.01003385105742926,0.0,66
road,FIDIC 13.8,1.3922762440795737e-06,0.0003770846640598342,23,0,-0.004013540422971709,0.06671551164754733,66
road,DAM,1.5140830468654186e-06,0.00037824588947276447,4,0,-0.004013540422971709,0.06274395584011162,66
road,Fixed-price,1.9380693836986923e-05,0.00033542034092931295,0,0,-0.012826284130106329,0.0,67
road,FIDIC 13.8,3.100911013917905e-06,0.00040764941615633964,23,0,-0.005130513652042527,0.09068898518168468,67
road,DAM,4.1713560841993635e-06,0.00040950269982700164,6,0,-0.006531024181504599,0.0809384642176328,67
